Cultivar Name,Female Parent,Male Parent,Breeder,Year
cecilie,(caerulea aff. oerstedii),aff. oerstedii,leopold sevcik,1996
celia costen,violacea,caerulea constance eliott,david costen,1995
celine,pink nightmare,caerulea,volker lorenz / stefan rhyner,2004
charlotte corday ,selection of caerulea,0,0,0
chave,violacea,caerulea,maite chico padron,2007
cherries jubilee,(mixta manicata),tripartita var. molissima,richard mccain,1992
chianti,gritensis,???,roland fischer,0
china blue,selection of caerulea,0,0,0
chinensis,selection of caerulea,0,0,0
chiquito,morning star,gritensis,henk wouters,2009
christine murray,caerulea,decaisneana,martin murray,2005
clara,incarnata,caerulea,maurizio vecchia,0
clara luna,caerulea constance eliott,eichleriana,maurizio vecchia,2007
claudia,kewensis,caerulea constance eliott,k. oldegarm,0
clear sky,((amethystina caerulea) caerulea),caerulea,roland fischer,0
cleweriana,masters,1877,0,0
cloudy,sweet surrender,caerulea,henk wouters,2009
clowesii / clowesiana,van houtte,0,0,0
coocoochee,(amethyst princeps),gritensis,roland fischer,0
coelestina,0,0,0,0
cold blue,amethyst,caerulea,guido van herck,0
colet,princeps,tucumanensis,leopold sevcik,1999
collien,celine,(violet selection x caerulea 'CE',nadine van rüschen,2020
colombina,kermesina,eichleriana,maurizio vecchia,
columbus,phoenicea,amethystina,maurizio vecchia,2000
common pruple,selection of edulis,0,0,0
comte de kisseleff,0,0,0,0
comte de kuscheleff,0,0,0,0
comte de nesselrode,0,0,0,0
comte woronzoff,selection of raddiana,0,0,0
comtesse anna,0,0,0,0
comtesse giuglini,1876,0,0,0
concordia,selection of caerulea,christian feuillet,1991,0
connor cailean,loefgrenii corupa,caerulea,robert mcphail,2008
constance eliott,selection of caerulea,masters,1884,0
contento,gritensis,amethystina,henk wouters,2007
cooloola blue,subpeltata,edulis lacey,robert dostal,2021
coral flowers,0,0,0,0
coral glow,(tripartita var. mollissima manicata),jamesonii (?),patrick worley,1983
coral sea,manicata,(tripartita var. mollissima jamesonii)  (?),patrick worley,1983
cordelia,vitifolia,coccinea,r.j. knight,1993
coronata,alata,edulis f. edulis (?),sally pert / juan andres cantero mellado,2006
corry rooymans,rosa stern,alata,henk wouters,2003
corumba de goias,selection of amethystina,0,0,0
corupa,selection of loefgrenii,0,0,0
count nesselrode,0,0,0,0
countesse gigliucci,0,0,0,0
crackerjack,selection of edulis,0,0,0
creamy,amethyst,caerulea,guido van herck,0
crimson tears,((amethyst princeps) gritensis),amethystina,roland fischer,2002
cupids blush,kew gardens,violacea,david costen,2005
curiosa,suberosa,coriacea,silvan kamstra,0
cute & cozy,yucatanensis,miguelliana,nisa knust,0
cutie,kew gardens,caerulea constance eliott,david costen,0
dafne,edmundoi,kermesina,maurizio vecchia,2010
dakota ransom,amethyst,caerulea,sally ransom,2001
dalal,amethystina,thuraia,maurizio vecchia,2007
damsels delight,protected,syn.: silly cow,myles irvine,0
dani,amethyst,caerulea,christopher taube,2018
daniela,(tucumanensis princeps),caerulea,leopold sevcik,1996
danièle sabureau,murac,tarapotina,sebastien sabureau,2014
danza delle ore,not registered,edmundoi,caerulea,maurizio vecchia
darina,incarnata,???,0,0
dark purple,selection of incarnata,0,0,0
dark star,edulis f. flavicarpa,caerulea,frank moser,0
daylight,not registered,incarnata,???,0
deanna,manicata,???,0,0
debbie marie hescott,jane t,citrina,martin wills,2016
debby,caerulea,gibertii,leopold sevcik,1999
decaisneana,alata,quadrangularis,planchon,1853
dedorina,violacea,caerulea,silvan kamstra,0
